Price,Close,High,Low,Open,Volume
Ticker,QVAL,QVAL,QVAL,QVAL,QVAL
Date,,,,,
2015-06-11,23.389944076538086,23.432379635106905,23.364484360147834,23.432379635106905,11100
2015-06-12,23.27112579345703,23.355995284707966,23.254151571456664,23.330533951707416,4200
2015-06-15,23.10138511657715,23.203228822358696,23.04197696268407,23.186254601603306,4500
2015-06-16,23.19389533996582,23.21935505438257,23.169282232278466,23.169282232278466,1900
2015-06-17,23.143817901611328,23.237172867103766,23.084409754820527,23.152305010974384,7200
2015-06-18,23.330537796020508,23.403525667648015,23.25415540318377,23.25415540318377,5700
2015-06-19,23.220205307006836,23.508760612978485,23.203231084596517,23.466325056952684,52200
2015-06-22,23.372968673706055,23.593627076843052,23.296586296177537,23.593627076843052,61200
2015-06-23,23.432376861572266,23.49178501778582,23.3050718196851,23.457836574949017,20500
2015-06-24,23.169279098510742,23.50875701982648,23.126845167721623,23.50875701982648,18900
2015-06-25,23.084415435791016,23.169283312805995,23.016520162928433,23.169283312805995,15600
2015-06-26,23.03009605407715,23.109872951628155,22.948622705647878,23.073379832735437,16400
2015-06-29,22.42959213256836,22.96545196457988,22.40407437967718,22.96545196457988,19900
2015-06-30,22.545265197753906,22.599701112931182,22.455103786715664,22.497633366389394,13400
2015-07-01,22.5146484375,22.591200075104894,22.404074751147338,22.529960062891323,46300
2015-07-02,22.493379592895508,22.616712940419056,22.40406990910435,22.40406990910435,71000
2015-07-06,22.1999454498291,22.412588602370878,22.11488786434469,22.297761105317697,17800
2015-07-07,22.280744552612305,22.280744552612305,21.774654540614687,22.089365431323067,15200
2015-07-08,21.806978225708008,22.01281564208338,21.70661064449566,21.995805425017277,7700
2015-07-09,21.808671951293945,22.09786664582162,21.808671951293945,22.0638445994678,19700
2015-07-10,21.953269958496094,22.21694853176931,21.897983928716947,21.90223607626232,25200
2015-07-13,22.148908615112305,22.182930671398683,22.106379016831468,22.106379016831468,7100
2015-07-14,22.334331512451172,22.752813662538024,22.148907985170588,22.148907985170588,7700
2015-07-15,22.131900787353516,22.21100439438946,22.11488894495767,22.21100439438946,11300
2015-07-16,22.191436767578125,22.233964743858962,21.6895988602404,22.14040287157346,25000
2015-07-17,21.97028350830078,22.02131739451814,21.868214113528072,21.96177759020822,10900
2015-07-20,21.84269905090332,22.106376035329035,21.791665162187584,22.09787011682007,23000
2015-07-21,21.81717300415039,21.834184834703287,21.740621388999823,21.834184834703287,4000
2015-07-22,21.5620059967041,21.77464905067093,21.45143070013221,21.68959150461665,9000
